Price,Close,High,Low,Open,Volume
Ticker,QQQM,QQQM,QQQM,QQQM,QQQM
Date,,,,,
2021-06-18,136.57859802246094,137.37407679261995,136.3748879585434,137.19945336404595,94400
2021-06-21,137.45474243164062,137.52274355588878,135.80346229789774,136.76509720250655,99800
2021-06-22,138.7466278076172,138.90204624169522,137.35761445952872,137.49360188396756,95700
2021-06-23,138.7466278076172,139.26143840167268,138.63687446941884,138.84376803429538,106500
2021-06-24,139.60140991210938,140.24249981605485,139.3682822684427,139.64025710862856,252000
2021-06-25,139.50428771972656,139.9705430673243,139.29059105745736,139.9705430673243,70300
2021-06-28,141.21388244628906,141.23719669935866,140.08712075089346,140.08712075089346,159900
2021-06-29,141.67039489746094,141.7092420993984,140.84474734647733,141.23327865192888,85600
2021-06-30,141.55381774902344,141.76751440457124,141.31098198785716,141.70923619333433,88000
2021-07-01,141.55381774902344,141.6703889930159,140.84474147644312,141.41783031563105,278300
2021-07-02,143.14682006835938,143.28280750205474,142.2726172548204,142.36003457187059,148500
2021-07-06,143.71994018554688,143.85494941446862,142.32120366652134,143.49652058770226,104100
2021-07-07,144.00160217285156,144.8660968645361,143.34109603606706,144.8660968645361,214500
2021-07-08,143.21484375,143.54509688076706,141.51499315034948,141.94238652970498,288600
2021-07-09,144.08900451660156,144.26385394856626,142.74369991448748,143.00110519421375,191300
2021-07-12,144.68157958984375,144.8467061700003,144.04048946345557,144.73985781560225,162800
2021-07-13,144.6717987060547,145.84711519159038,144.42507976966,144.5163803012106,259600
2021-07-14,144.9049530029297,145.87629607919501,144.68154824541404,145.61404412009713,258800
2021-07-15,143.894775390625,144.9341196880406,143.1322674514766,144.8758266482577,281000
2021-07-16,142.74856567382812,144.65238954538052,142.62228634813232,144.24442728719072,207900
2021-07-19,141.60238647460938,141.73837390666594,140.60190433415346,141.34984262122387,329600
2021-07-20,143.23423767089844,143.8170345469401,141.29155177439185,142.00062797659194,195700
2021-07-21,144.26382446289062,144.2929635586763,143.0690622496231,143.10792425834643,203800
2021-07-22,145.28378295898438,145.28378295898438,144.45813546142637,144.45813546142637,171800
2021-07-23,146.88650512695312,147.08077078312434,145.41978237811304,145.90545392930082,189800
2021-07-26,147.0904541015625,147.2458725289276,146.40761199140246,146.70192285466672,288500
2021-07-27,145.5072021484375,146.9836478389162,143.79762877371908,146.9836478389162,321400
2021-07-28,146.03172302246094,146.64367393898817,145.05067179411725,145.92487468499618,328000
2021-07-29,146.2842559814453,146.7407883592307,145.85297946924487,145.9054328191891,197700
2021-07-30,145.54603576660156,145.75973241849513,144.67183296995938,144.70097207507956,202900
2021-08-02,145.5363311767578,146.41053399445184,145.31292642495043,146.2551303705747,257600
2021-08-03,146.42025756835938,146.45910476912346,144.56498877460012,145.8860159233608,446300
2021-08-04,146.64366149902344,147.01277660104736,146.02686399778966,146.42996484222206,287800
2021-08-05,147.56642150878906,147.64413072459462,146.7213578718694,147.0030408103368,176900
2021-08-06,146.92535400390625,147.41102556062864,146.53682268713624,147.10991156690392,186700
2021-08-09,147.19729614257812,147.40128467248832,146.67277749947766,147.15844894815143,135400
2021-08-10,146.44940185546875,147.51690696299207,145.96373031038206,147.41102202896806,255300
2021-08-11,146.1871337890625,147.10990675233083,145.65289212984848,146.95448830210142,190100
2021-08-12,146.7213592529297,146.8476237609745,145.43917941234514,145.97342101258872,173900
